,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,105263,4/20/2022,OBC,800082,3/21/2022,4/20/2022,LAUREL,LAUREL,LAUREL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,105263,4/20/2022,OBC,800082,3/21/2022,4/20/2022,LAUREL,LAUREL,LAUREL,703020,702002,1,7200032,,apbox,2,CM10AM,1,t,
SOL,105263,4/20/2022,OBC,800082,3/21/2022,4/20/2022,LAUREL,LAUREL,LAUREL,703020,702002,2,7200033,,apbox,3,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,106034,4/20/2022,OBC,805327,3/20/2022,4/20/2022,Sta. Cruz,Sta. Cruz,Sta. Cruz,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,106034,4/20/2022,OBC,805327,3/20/2022,4/20/2022,Sta. Cruz,Sta. Cruz,Sta. Cruz,703020,702002,1,7200033,,apbox,8,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,106034,4/20/2022,OBC,805329,3/21/2022,4/20/2022,Sta. Cruz,Sta. Cruz,Sta. Cruz,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,106034,4/20/2022,OBC,805329,3/21/2022,4/20/2022,Sta. Cruz,Sta. Cruz,Sta. Cruz,703020,702002,1,7200032,,apbox,4,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,106050,4/20/2022,OBC,802127,3/20/2022,4/20/2022,Pagsanjan Laguna,Pagsanjan Laguna,Pagsanjan Laguna,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,106050,4/20/2022,OBC,802127,3/20/2022,4/20/2022,Pagsanjan Laguna,Pagsanjan Laguna,Pagsanjan Laguna,703020,702002,1,7200033,,apbox,4,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,107031,4/20/2022,OBC,806623,3/21/2022,4/20/2022,Festival Mall,Festival Mall,Festival Mall,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,107031,4/20/2022,OBC,806623,3/21/2022,4/20/2022,Festival Mall,Festival Mall,Festival Mall,703020,702002,1,7200033,,apbox,8,CM10AM,1,t,
SOL,107031,4/20/2022,OBC,806623,3/21/2022,4/20/2022,Festival Mall,Festival Mall,Festival Mall,703020,702002,2,7200032,,apbox,5,CM10AM,1,t,
